order_id,order_date,customer_id,product_category,region,quantity,unit_price,total
ORD-10117,2024-01-22,C026,Books,South,2,416.14,832.28
ORD-10118,2024-04-04,C005,Home,South,5,105.04,525.2
ORD-10119,2024-01-02,C020,Books,East,2,357.72,715.44
ORD-10120,2024-04-04,C023,Sports,East,4,311.46,1245.84
ORD-10121,2024-05-18,C020,Electronics,West,4,199.8,799.2
ORD-10122,2024-06-11,C003,Clothing,North,5,116.41,582.05
ORD-10123,2024-06-27,C025,Clothing,West,3,261.43,784.29
ORD-10124,2024-05-21,C006,Beauty,West,4,412.65,1650.6
ORD-10125,2024-06-27,C016,Home,West,4,436.23,1744.92
ORD-10126,2024-03-11,C011,Sports,West,1,386.69,386.69
ORD-10127,2024-03-22,C018,Electronics,West,4,367.04,1468.16
ORD-10128,2024-01-11,C025,Sports,North,3,148.86,446.58
ORD-10129,2024-06-28,C002,Clothing,East,5,210.58,1052.9
ORD-10130,2024-05-25,C025,Electronics,South,4,283.31,1133.24
ORD-10131,2024-03-18,C015,Books,West,2,417.81,835.62
ORD-10132,2024-01-01,C023,Clothing,East,5,360.69,1803.45
ORD-10133,2024-05-01,C008,Electronics,West,5,186.56,932.8
ORD-10134,2024-01-21,C023,Home,East,2,226.78,453.56
ORD-10135,2024-04-27,C008,Sports,South,4,441.21,1764.84
ORD-10136,2024-04-07,C029,Clothing,North,5,231.17,1155.85
ORD-10137,2024-03-25,C026,Beauty,East,4,156.24,624.96
ORD-10138,2024-01-10,C019,Books,West,3,377.68,1133.04
ORD-10139,2024-02-15,C011,Beauty,West,5,220.53,1102.65
ORD-10140,2024-04-11,C008,Beauty,West,2,441.44,882.88
ORD-10141,2024-02-28,C024,Sports,West,4,24.42,97.68
ORD-10142,2024-04-22,C002,Clothing,East,2,225.42,450.84
ORD-10143,2024-01-28,C030,Sports,North,4,49.37,197.48
ORD-10144,2024-06-05,C005,Electronics,West,4,392.57,1570.28
ORD-10145,2024-03-11,C021,Electronics,East,5,313.25,1566.25
ORD-10146,2024-06-28,C011,Books,West,5,174.1,870.5
ORD-10147,2024-05-02,C021,Books,East,5,35.45,177.25
ORD-10148,2024-02-24,C004,Books,North,1,198.12,198.12
ORD-10149,2024-04-06,C002,Home,North,3,407.02,1221.06
ORD-10150,2024-03-12,C008,Beauty,West,3,196.66,589.98
ORD-10151,2024-05-22,C003,Beauty,West,2,80.64,161.28
ORD-10152,2024-05-22,C019,Clothing,South,2,226.46,452.92
ORD-10153,2024-04-21,C022,Electronics,West,3,209.51,628.53
ORD-10154,2024-03-22,C015,Home,East,5,75.3,376.5
ORD-10155,2024-06-14,C010,Clothing,West,3,208.29,624.87
ORD-10156,2024-04-04,C012,Beauty,East,2,174.71,349.42
ORD-10157,2024-06-10,C022,Sports,East,1,440.19,440.19
ORD-10158,2024-01-19,C024,Sports,East,1,410.22,410.22
ORD-10159,2024-02-20,C007,Beauty,East,3,102.46,307.38
ORD-10160,2024-06-25,C029,Books,North,2,284.57,569.14
ORD-10161,2024-03-26,C012,Books,South,4,19.85,79.4
ORD-10162,2024-01-10,C006,Clothing,South,3,337.63,1012.89
ORD-10163,2024-05-12,C009,Clothing,East,5,228.3,1141.5
ORD-10164,2024-04-26,C011,Electronics,West,3,337.22,1011.66
ORD-10165,2024-01-05,C024,Books,West,2,387.76,775.52
ORD-10166,2024-05-12,C001,Home,North,1,356.85,356.85
ORD-10167,2024-04-12,C027,Books,East,3,265.13,795.39
ORD-10168,2024-01-22,C020,Beauty,East,2,214.81,429.62
ORD-10169,2024-05-08,C015,Books,East,1,287.75,287.75
ORD-10170,2024-06-14,C002,Home,West,1,67.2,67.2
ORD-10171,2024-01-04,C005,Sports,West,2,399.83,799.66
ORD-10172,2024-03-22,C024,Books,South,5,191.51,957.55
ORD-10173,2024-04-21,C020,Sports,East,1,375.99,375.99
ORD-10174,2024-01-23,C015,Clothing,East,3,101.69,305.07
ORD-10175,2024-01-22,C021,Home,North,3,247.29,741.87
ORD-10176,2024-04-09,C028,Sports,North,2,435.85,871.7
ORD-10177,2024-06-07,C002,Home,South,5,437.14,2185.7
ORD-10178,2024-02-26,C027,Beauty,South,5,96.32,481.6
ORD-10179,2024-05-07,C005,Beauty,North,2,151.21,302.42
ORD-10180,2024-03-28,C018,Home,South,2,444.45,888.9
ORD-10029,2024-01-02,C030,Beauty,South,5,217.17,1085.85
